INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2025-04-08T06:00:00-00:00,2025-04-08T07:00:00-00:00,2025-04-07,24,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCE,LMP_ENE_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,34.01766,3
2025-04-07T21:00:00-00:00,2025-04-07T22:00:00-00:00,2025-04-07,15,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCE,LMP_ENE_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-3.65227,3
2025-04-07T13:00:00-00:00,2025-04-07T14:00:00-00:00,2025-04-07,7,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCE,LMP_ENE_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,46.76085,3
2025-04-07T12:00:00-00:00,2025-04-07T13:00:00-00:00,2025-04-07,6,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCE,LMP_ENE_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,35.70413,3
2025-04-08T02:00:00-00:00,2025-04-08T03:00:00-00:00,2025-04-07,20,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCE,LMP_ENE_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,47.57613,3
2025-04-07T16:00:00-00:00,2025-04-07T17:00:00-00:00,2025-04-07,10,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCE,LMP_ENE_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,8.12193,3
2025-04-07T10:00:00-00:00,2025-04-07T11:00:00-00:00,2025-04-07,4,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCE,LMP_ENE_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,31.62628,3
2025-04-07T23:00:00-00:00,2025-04-08T00:00:00-00:00,2025-04-07,17,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCE,LMP_ENE_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-1.06227,3
2025-04-07T22:00:00-00:00,2025-04-07T23:00:00-00:00,2025-04-07,16,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCE,LMP_ENE_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-3.97934,3
2025-04-07T18:00:00-00:00,2025-04-07T19:00:00-00:00,2025-04-07,12,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCE,LMP_ENE_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,4.05924,3
2025-04-07T14:00:00-00:00,2025-04-07T15:00:00-00:00,2025-04-07,8,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCE,LMP_ENE_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,37.18734,3
2025-04-07T11:00:00-00:00,2025-04-07T12:00:00-00:00,2025-04-07,5,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCE,LMP_ENE_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,34.22648,3
2025-04-07T07:00:00-00:00,2025-04-07T08:00:00-00:00,2025-04-07,1,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCE,LMP_ENE_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,31.82657,3
